date,jurisdiction,new_covid_19_hospital_admissions,covid_19_inpatient_bed_occupancy_7_day_average,covid_19_icu_bed_occupancy_7_day_average
2021-12-01,Alabama,227,70.37733459777044,77.87417371060626
2021-12-01,Alaska,338,55.671227686355344,36.834734792110744
2021-12-01,Arizona,356,51.48889523265203,42.197822301711255
2021-12-01,Arkansas,140,54.299680355853035,39.57173127707027
2021-12-01,California,322,60.85762867848936,48.0121150894285
2021-12-01,Colorado,345,83.6389153755442,30.565856488032058
2021-12-01,Connecticut,186,42.01486936990404,66.67047353521342
2021-12-01,Delaware,274,55.980242565219754,71.42263079011188
2021-12-01,Florida,484,81.383671743939,55.59114216145278
2021-12-01,Georgia,152,86.9538591894893,71.84943161048497
2021-12-01,Hawaii,257,40.32721735351045,64.00013755448617
2021-12-01,Idaho,150,77.87821119184301,48.655427818406054
2021-12-01,Illinois,390,70.77714075578453,39.169887732696864
2021-12-01,Indiana,391,79.27346788818465,52.653179663405055
2021-12-01,Iowa,474,56.508449451974414,75.65113428568097
2021-12-02,Alabama,129,49.75450593682427,45.94893341470875
2021-12-02,Alaska,197,82.28862215617767,79.25926992176059
2021-12-02,Arizona,133,55.883584355810484,66.21368098693098
2021-12-02,Arkansas,316,52.23784376013873,52.062471766297094
2021-12-02,California,175,42.91020362727618,33.03597661483836
2021-12-02,Colorado,352,78.36282057045258,63.57686269827959
2021-12-02,Connecticut,474,77.02569554023627,41.685145864454384
2021-12-02,Delaware,369,40.70536982532911,65.33085793086867
2021-12-02,Florida,282,41.95712552130251,40.521479185846445
2021-12-02,Georgia,51,89.71284773425639,43.9926266076873
2021-12-02,Hawaii,295,82.27445379196436,70.6132559075009
2021-12-02,Idaho,66,72.9659572006274,68.30186862940297
2021-12-02,Illinois,94,86.54858529013987,58.6281616980815
2021-12-02,Indiana,431,72.621943614668,38.16720925649995
2021-12-02,Iowa,261,47.044677912997514,74.98565083556177
2021-12-03,Alabama,157,75.922171780816,54.32795266739497
2021-12-03,Alaska,289,84.77711662951208,51.45201768460534
2021-12-03,Arizona,329,67.423577027358,65.39740038182487
2021-12-03,Arkansas,106,46.29207029447927,71.98263810149433
2021-12-03,California,462,41.13061521592587,71.94437468984714
2021-12-03,Colorado,262,80.12669834113376,58.89382611780783
2021-12-03,Connecticut,272,41.712820599322185,34.50847768592632
2021-12-03,Delaware,487,54.691386680455395,37.176283443062985
2021-12-03,Florida,394,53.58779911172172,50.93643077381948
2021-12-03,Georgia,138,87.82207531891164,48.711185747919714
2021-12-03,Hawaii,352,77.04102193992986,40.84514170945553
2021-12-03,Idaho,493,77.55723504197934,65.5231131858818
2021-12-03,Illinois,381,53.21385255770455,49.48338156911914
2021-12-03,Indiana,337,73.60354780387746,35.3696516234364
2021-12-03,Iowa,303,83.25835995068658,64.73788003781733
2021-12-04,Alabama,136,71.9131174757548,67.9239351735079
2021-12-04,Alaska,168,76.50458226025174,63.25884467646146
2021-12-04,Arizona,221,74.43958895969952,54.588161852755924
2021-12-04,Arkansas,492,50.002203533932835,52.20713494707684
2021-12-04,California,306,88.24324373128583,37.08915262853829
2021-12-04,Colorado,108,60.57422927025961,39.94846296633766
2021-12-04,Connecticut,177,82.00242365723173,34.62383862623286
2021-12-04,Delaware,307,80.9224995036819,59.114578022377806
2021-12-04,Florida,454,73.3420514256544,51.17258252839942
2021-12-04,Georgia,396,53.319266045159274,72.20651104349761
2021-12-04,Hawaii,297,42.389989770862684,55.964492010057725
2021-12-04,Idaho,58,73.04307907029562,32.02386127138729
2021-12-04,Illinois,370,44.91336826227291,44.638485296324035
2021-12-04,Indiana,69,79.27792212440497,36.27832067822587
2021-12-04,Iowa,465,71.2364495635665,67.00025336318956
2021-12-05,Alabama,297,73.04244081435533,58.72157989219359
2021-12-05,Alaska,158,61.62137220394868,34.78671246249314
2021-12-05,Arizona,386,63.53828020245325,76.92108724045764
2021-12-05,Arkansas,175,76.80709541991175,74.37015989658457
2021-12-05,California,121,41.199737463473966,40.88729371730665
2021-12-05,Colorado,255,66.47929623876676,32.34968141614698
2021-12-05,Connecticut,454,88.680241553616,34.93104942601152
2021-12-05,Delaware,111,81.59613238007027,69.69399579392662
2021-12-05,Florida,344,88.45532856852151,37.96002381722253
2021-12-05,Georgia,268,75.88786071578811,36.997385610298934
2021-12-05,Hawaii,168,52.84722057612379,47.60667262684922
2021-12-05,Idaho,324,62.21651846652069,52.46078269617436
2021-12-05,Illinois,343,48.02691609848741,38.10134768004518
2021-12-05,Indiana,393,68.42921609895569,55.19772550490108
2021-12-05,Iowa,109,75.45171113868165,62.294340949613776
2021-12-06,Alabama,169,68.17898075768852,64.40337696553878
2021-12-06,Alaska,443,74.35547903210025,40.97466532994294
2021-12-06,Arizona,192,49.736604858830084,68.72810877690264
2021-12-06,Arkansas,432,45.03597007165321,57.691524577216896
2021-12-06,California,427,56.87821980048145,64.75225293536897
2021-12-06,Colorado,386,63.821551710609896,78.73954854615971
2021-12-06,Connecticut,175,77.53819596738711,32.49677221413968
