date,value
2021-12-01,58.91913082672441
2021-12-02,94.35374863708358
2021-12-03,108.67320488853444
2021-12-04,124.21808969618597
2021-12-05,73.71708216558144
2021-12-06,96.44805085994884
2021-12-07,94.62576012518613
2021-12-08,103.17060072244944
2021-12-09,102.91307922095994
2021-12-10,118.82756041740546
2021-12-11,124.22190252466199
2021-12-12,117.73205998142815
2021-12-13,107.06844871078408
2021-12-14,89.51928509745896
2021-12-15,84.32254370857203
2021-12-16,80.96915611783065
2021-12-17,83.94920788361878
2021-12-18,105.00952935559943
2021-12-19,106.59380944474431
2021-12-20,76.13136791094234
2021-12-21,109.38707070500743
2021-12-22,123.74292798007988
2021-12-23,119.26720088675117
2021-12-24,83.3126512908631
2021-12-25,71.16552938577627
2021-12-26,100.16809507300003
2021-12-27,124.53792080119904
2021-12-28,114.95449548874113
2021-12-29,81.41887488593578
2021-12-30,101.5762179512789
2021-12-31,106.49654963633634
2022-01-01,117.33735183318245
2022-01-02,111.53554989771892
2022-01-03,94.23299105809457
2022-01-04,113.82417502160217
2022-01-05,72.24432746395281
2022-01-06,74.95802429079782
2022-01-07,83.87187931978112
2022-01-08,90.18441256472926
2022-01-09,99.91278816525849
2022-01-10,83.96313719089943
2022-01-11,105.51218299959542
2022-01-12,114.97612837877384
2022-01-13,110.09812641940164
2022-01-14,98.22171672934238
2022-01-15,88.34976011227799
2022-01-16,141.46013515715876
2022-01-17,98.13332091290995
2022-01-18,84.4314061824104
2022-01-19,88.52266324364771
2022-01-20,153.7640644182194
2022-01-21,92.2642419248381
2022-01-22,100.88957489066551
2022-01-23,93.58686213997898
2022-01-24,116.64272701152305
2022-01-25,88.77011053360461
2022-01-26,92.94426163318228
2022-01-27,68.2873026261633
2022-01-28,105.7412887001489
2022-01-29,69.12147449374115
2022-01-30,109.94673597503936
2022-01-31,100.85933374395826
2022-02-01,100.21143385939408
2022-02-02,111.19609079540527
2022-02-03,114.22946761674262
2022-02-04,54.49157961852598
2022-02-05,91.15152713718889
2022-02-06,125.47733604680232
2022-02-07,64.56578409239876
2022-02-08,107.54805691348571
2022-02-09,102.04953794981637
2022-02-10,129.8243002279741
2022-02-11,148.2421807883673
2022-02-12,106.07115884873065
2022-02-13,117.96601625898259
2022-02-14,98.81446369795012
2022-02-15,82.75448884361127
2022-02-16,123.29527376149728
2022-02-17,96.08882136020208
2022-02-18,81.5881348125479
2022-02-19,72.67236544570459
2022-02-20,120.16431167623028
2022-02-21,86.0513803870073
2022-02-22,109.52356466363632
2022-02-23,111.19047486216144
2022-02-24,52.22677140501621
2022-02-25,92.74955247305562
2022-02-26,97.31382461485022
2022-02-27,63.77254304809795
2022-02-28,67.24356984605707
2022-03-01,89.22940805690752
2022-03-02,98.9404092261938
2022-03-03,75.92709014159435
2022-03-04,130.83406917499534
2022-03-05,98.83517046223439
2022-03-06,118.18617981868238
2022-03-07,107.76682282312984
2022-03-08,92.55910104931287
2022-03-09,145.14345485859204
2022-03-10,127.16057219834676
2022-03-11,91.15622273241468
2022-03-12,86.74367701764835
2022-03-13,97.86355471520977
2022-03-14,114.19594630130923
2022-03-15,76.48273200847939
2022-03-16,80.97589167961947
2022-03-17,110.98432504535899
2022-03-18,106.41063304095314
2022-03-19,72.66130591915434
2022-03-20,85.91031898488013
2022-03-21,88.76943195309349
2022-03-22,114.65818230045927
2022-03-23,130.08968705320615
2022-03-24,94.43024442967317
2022-03-25,97.45700355170658
2022-03-26,62.80132381015041
2022-03-27,102.71569624642456
2022-03-28,98.49792866508909
2022-03-29,92.11828107764273
2022-03-30,79.96946718446856
2022-03-31,92.18011693386163
